time,half,normand,stull,third
2017-08-22 13:54:00,13.055,12.8871920565368,12.716336569862708,13.333333333333332
2017-08-22 14:54:00,14.695,14.35825838930324,14.169950351451526,15.166666666666664
2017-08-22 15:54:00,15.805,15.425435203739953,15.260326306241215,16.276666666666664
2017-08-22 16:54:00,15.805,15.425628975587491,15.260326306241215,16.276666666666664
2017-08-22 17:54:00,16.335,15.801501472043038,15.644433693481911,16.983333333333334
2017-08-22 18:54:00,16.335,15.801325759597008,15.644433693481911,16.983333333333334
2017-08-22 19:54:00,16.39,15.720719879689348,15.578287657029968,17.223333333333333
2017-08-22 20:54:00,16.64,15.895438503841097,15.77253089790823,17.556666666666665
2017-08-22 21:54:00,16.64,15.895315327757809,15.77253089790823,17.556666666666665
2017-08-22 22:54:00,16.945,16.106729166058177,16.01056583708322,17.96333333333333
2017-08-22 23:54:00,15.835,15.326556511703565,15.15755647957786,16.483333333333334
2017-08-23 00:54:00,15.555,15.125079265738664,14.949185481737533,16.11
2017-08-23 01:54:00,15.305,14.943818216648374,14.768908447007849,15.776666666666664
2017-08-23 02:54:00,15.0,14.72103198758746,14.556358128645737,15.369999999999997
2017-08-23 03:54:00,15.0,14.721083333345586,14.556358128645737,15.369999999999997
2017-08-23 04:54:00,14.75,14.536414174856594,14.386529277824703,15.036666666666665
2017-08-23 05:54:00,14.75,14.536334196277277,14.386529277824703,15.036666666666665
2017-08-23 06:54:00,15.0,14.841744807293022,14.722154762430762,15.203333333333333
2017-08-23 07:54:00,15.0,14.841716473760204,14.722154762430762,15.203333333333333
2017-08-23 08:54:00,14.445,14.309019200106539,14.18996720110325,14.629999999999999
2017-08-23 09:54:00,14.695,14.617000287188757,14.535516172121657,14.796666666666667
2017-08-23 10:54:00,14.695,14.61692901038198,14.535516172121657,14.796666666666667
2017-08-23 11:54:00,14.445,14.308915266706546,14.18996720110325,14.629999999999999
2017-08-23 12:54:00,14.445,14.308915266706546,14.18996720110325,14.629999999999999
2017-08-23 13:54:00,14.14,14.079697910464118,14.00232079384314,14.223333333333333
2017-08-23 14:54:00,14.39,,14.360465970398636,14.39
2017-08-23 15:54:00,14.14,14.07973322711806,14.00232079384314,14.223333333333333
2017-08-23 16:54:00,14.445,14.309175040883954,14.18996720110325,14.629999999999999
2017-08-23 17:54:00,14.75,14.5362942024332,14.386529277824703,15.036666666666665
2017-08-23 18:54:00,15.305,14.943688030126491,14.768908447007849,15.776666666666664
2017-08-23 19:54:00,15.555,15.124698164317936,14.949185481737533,16.11
2017-08-23 20:54:00,15.805,15.424206977955176,15.260326306241215,16.276666666666664
2017-08-23 21:54:00,16.085,15.62268713170592,15.46189281388267,16.65
2017-08-23 22:54:00,15.555,15.123935529646483,14.949185481737533,16.11
2017-08-23 23:54:00,15.305,14.942711003134066,14.768908447007849,15.776666666666664
2017-08-24 00:54:00,15.555,15.244117949685592,15.087427242334126,15.943333333333332
2017-08-24 01:54:00,15.25,15.02342780422459,14.883008891540417,15.536666666666665
2017-08-24 02:54:00,15.25,15.02362682294567,14.883008891540417,15.536666666666665
2017-08-24 03:54:00,15.305,15.22167805861162,15.147099242129205,15.406666666666666
2017-08-24 04:54:00,15.0,14.841404665006994,14.722154762430762,15.203333333333333
2017-08-24 05:54:00,14.445,14.308785305438986,14.18996720110325,14.629999999999999
2017-08-24 06:54:00,14.14,14.079568346872097,14.00232079384314,14.223333333333333
2017-08-24 07:54:00,14.14,14.079532992463562,14.00232079384314,14.223333333333333
2017-08-24 08:54:00,14.14,14.07950941835898,14.00232079384314,14.223333333333333
2017-08-24 09:54:00,14.14,14.079474050451887,14.00232079384314,14.223333333333333
2017-08-24 10:54:00,14.14,14.079415085932272,14.00232079384314,14.223333333333333
2017-08-24 11:54:00,14.14,14.079391493819335,14.00232079384314,14.223333333333333
2017-08-24 12:54:00,14.14,14.079426880637467,14.00232079384314,14.223333333333333
2017-08-24 13:54:00,13.89,,13.856923014185995,13.89
2017-08-24 14:54:00,14.14,14.07949762995681,14.00232079384314,14.223333333333333
2017-08-24 15:54:00,14.14,14.079568346872097,14.00232079384314,14.223333333333333
2017-08-24 16:54:00,14.695,14.616843442947076,14.535516172121657,14.796666666666667
2017-08-24 17:54:00,14.75,14.535693930163077,14.386529277824703,15.036666666666665
2017-08-24 18:54:00,15.305,14.942645828564808,14.768908447007849,15.776666666666664
2017-08-24 19:54:00,15.305,14.942319881714266,14.768908447007849,15.776666666666664
2017-08-24 20:54:00,16.085,15.501434895200642,15.345976832458362,16.816666666666666
2017-08-24 21:54:00,16.085,15.500936561596982,15.345976832458362,16.816666666666666
2017-08-24 22:54:00,15.835,15.322921884476056,15.15755647957786,16.483333333333334
2017-08-24 23:54:00,15.835,15.322655494503248,15.15755647957786,16.483333333333334
2017-08-25 00:54:00,15.25,14.762616274177317,14.58089996815292,15.906666666666665
2017-08-25 01:54:00,14.695,14.354185912892628,14.169950351451526,15.166666666666664
2017-08-25 02:54:00,14.445,14.168026729042179,13.990851309276689,14.833333333333332
2017-08-25 03:54:00,14.445,14.168190140404517,13.990851309276689,14.833333333333332
